index,S:all,E:all,I:all,beta:all,v:all,k:all,vol:all,rep:all,phi:all,log_like
56,0.555618,2.56524e-05,1.39054e-06,1.86197,1.19754,1.56531,0.392671,0.1,0.1,-130.628
57,0.555618,2.56524e-05,1.39054e-06,1.86197,1.19754,1.56531,0.392671,0.1,0.1,-130.628
58,0.693652,2.76013e-05,6.54029e-07,1.10529,1.19717,1.57131,0.376176,0.1,0.1,-132.599
59,0.693652,2.76013e-05,6.54029e-07,1.10529,1.19717,1.57131,0.376176,0.1,0.1,-132.599
60,0.693652,2.76013e-05,6.54029e-07,1.10529,1.19717,1.57131,0.376176,0.1,0.1,-132.599
61,0.693652,2.76013e-05,6.54029e-07,1.10529,1.19717,1.57131,0.376176,0.1,0.1,-132.599
62,0.693652,2.76013e-05,6.54029e-07,1.10529,1.19717,1.57131,0.376176,0.1,0.1,-132.599
63,0.669717,3.62017e-05,1.13272e-06,1.37171,1.12637,1.60419,0.54866,0.1,0.1,-134.327
64,0.817733,2.71214e-05,1.77974e-05,1.20327,0.993642,1.60109,0.477285,0.1,0.1,-134.877
65,0.817733,2.71214e-05,1.77974e-05,1.20327,0.993642,1.60109,0.477285,0.1,0.1,-134.877
66,0.817733,2.71214e-05,1.77974e-05,1.20327,0.993642,1.60109,0.477285,0.1,0.1,-134.877
67,0.817733,2.71214e-05,1.77974e-05,1.20327,0.993642,1.60109,0.477285,0.1,0.1,-134.877
68,0.817733,2.71214e-05,1.77974e-05,1.20327,0.993642,1.60109,0.477285,0.1,0.1,-134.877
69,0.817733,2.71214e-05,1.77974e-05,1.20327,0.993642,1.60109,0.477285,0.1,0.1,-134.877
70,0.817733,2.71214e-05,1.77974e-05,1.20327,0.993642,1.60109,0.477285,0.1,0.1,-134.877
71,0.817733,2.71214e-05,1.77974e-05,1.20327,0.993642,1.60109,0.477285,0.1,0.1,-134.877
72,0.817733,2.71214e-05,1.77974e-05,1.20327,0.993642,1.60109,0.477285,0.1,0.1,-134.877
73,0.817733,2.71214e-05,1.77974e-05,1.20327,0.993642,1.60109,0.477285,0.1,0.1,-134.877
74,0.817733,2.71214e-05,1.77974e-05,1.20327,0.993642,1.60109,0.477285,0.1,0.1,-134.877
75,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
76,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
77,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
78,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
79,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
80,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
81,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
82,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
83,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
84,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
85,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
86,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
87,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
88,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
89,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
90,0.757951,5.8858e-05,1.19926e-05,1.40118,0.936714,1.60576,0.228893,0.1,0.1,-134.612
91,0.7445,1.55842e-06,1.55711e-05,1.64424,0.94429,1.60931,0.254641,0.1,0.1,-131.691
92,0.7445,1.55842e-06,1.55711e-05,1.64424,0.94429,1.60931,0.254641,0.1,0.1,-131.691
93,0.7445,1.55842e-06,1.55711e-05,1.64424,0.94429,1.60931,0.254641,0.1,0.1,-131.691
94,0.7445,1.55842e-06,1.55711e-05,1.64424,0.94429,1.60931,0.254641,0.1,0.1,-131.691
95,0.7445,1.55842e-06,1.55711e-05,1.64424,0.94429,1.60931,0.254641,0.1,0.1,-131.691
96,0.7445,1.55842e-06,1.55711e-05,1.64424,0.94429,1.60931,0.254641,0.1,0.1,-131.691
97,0.604568,0.000153321,2.86872e-05,1.55624,1.10968,1.5875,0.25871,0.1,0.1,-133.565
98,0.604568,0.000153321,2.86872e-05,1.55624,1.10968,1.5875,0.25871,0.1,0.1,-133.565
99,0.604568,0.000153321,2.86872e-05,1.55624,1.10968,1.5875,0.25871,0.1,0.1,-133.565
100,0.604568,0.000153321,2.86872e-05,1.55624,1.10968,1.5875,0.25871,0.1,0.1,-133.565
101,0.604568,0.000153321,2.86872e-05,1.55624,1.10968,1.5875,0.25871,0.1,0.1,-133.565
102,0.604568,0.000153321,2.86872e-05,1.55624,1.10968,1.5875,0.25871,0.1,0.1,-133.565
103,0.556096,7.67684e-05,7.95181e-05,1.73165,1.13987,1.59328,0.370887,0.1,0.1,-132.891
104,0.556096,7.67684e-05,7.95181e-05,1.73165,1.13987,1.59328,0.370887,0.1,0.1,-132.891
105,0.556096,7.67684e-05,7.95181e-05,1.73165,1.13987,1.59328,0.370887,0.1,0.1,-132.891
106,0.556096,7.67684e-05,7.95181e-05,1.73165,1.13987,1.59328,0.370887,0.1,0.1,-132.891
107,0.556096,7.67684e-05,7.95181e-05,1.73165,1.13987,1.59328,0.370887,0.1,0.1,-132.891
108,0.556096,7.67684e-05,7.95181e-05,1.73165,1.13987,1.59328,0.370887,0.1,0.1,-132.891
109,0.556096,7.67684e-05,7.95181e-05,1.73165,1.13987,1.59328,0.370887,0.1,0.1,-132.891
